Overlap Grad Matrix:
        0        0        0        0   0.3047  -0.2472        0        0   0.0250  -0.0390        0        0        0        0        0        0   0.1594   0.0311        0        0   0.0390  -0.0557        0        0        0        0        0        0        0        0   0.2481        0        0        0   0.0098        0        0        0        0        0        0        0        0   0.2481        0        0        0   0.0098  -0.3047  -0.1594        0        0        0        0        0        0   0.3047  -0.1594        0        0   0.2472  -0.0311        0        0        0        0        0        0   0.2472   0.0311        0        0        0        0  -0.2481        0        0        0        0        0        0        0   0.2481        0        0        0        0  -0.2481        0        0        0        0        0        0        0   0.2481  -0.0250  -0.0390        0        0  -0.3047  -0.2472        0        0        0        0        0        0   0.0390   0.0557        0        0   0.1594  -0.0311        0        0        0        0        0        0        0        0  -0.0098        0        0        0  -0.2481        0        0        0        0        0        0        0        0  -0.0098        0        0        0  -0.2481        0        0        0        0
        0        0        0        0        0        0   0.2120        0        0        0   0.0054        0        0        0        0        0        0        0   0.2481        0        0        0   0.0098        0        0        0        0        0  -0.1533   0.2481        0        0  -0.0054   0.0098        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0   0.1533        0        0        0        0        0        0        0   0.1533        0        0        0  -0.2481        0        0        0        0        0        0        0   0.2481        0  -0.2120  -0.2481        0        0        0        0        0        0  -0.2120   0.2481        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0   0.0054        0        0        0   0.2120        0        0        0        0        0        0        0  -0.0098        0        0        0  -0.2481        0        0        0        0        0  -0.0054  -0.0098        0        0  -0.1533  -0.2481        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0
        0        0        0        0        0        0        0   0.2120        0        0        0   0.0054        0        0        0        0        0        0        0   0.2481        0        0        0   0.0098        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0  -0.1533   0.2481        0        0  -0.0054   0.0098        0        0        0        0        0   0.1533        0        0        0        0        0        0        0   0.1533        0        0        0  -0.2481        0        0        0        0        0        0        0   0.2481        0        0        0        0        0        0        0        0        0        0        0        0  -0.2120  -0.2481        0        0        0        0        0        0  -0.2120   0.2481        0        0        0        0        0   0.0054        0        0        0   0.2120        0        0        0        0        0        0        0  -0.0098        0        0        0  -0.2481        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0  -0.0054  -0.0098        0        0  -0.1533  -0.2481        0        0        0        0        0        0
Gamma Grad Matrix:
        0   3.9665   1.4076  -3.9665        0   3.9665  -1.4076  -3.9665        0
        0        0        0        0        0        0        0        0        0
        0        0        0        0        0        0        0        0        0
Nuclear Repulsion Grad Matrix (V):
   1.8591e+02            0  -1.8591e+02
            0            0            0
            0            0            0
Electron Grad Matrix:
  -1.8148e+02  -4.9738e-14   1.8148e+02
  -1.4143e-15   4.9843e-15  -3.5701e-15
  -5.0983e-16  -5.7817e-16   1.0880e-15
Total Grad Matrix:
   4.4330e+00  -4.9738e-14  -4.4330e+00
  -1.4143e-15   4.9843e-15  -3.5701e-15
  -5.0983e-16  -5.7817e-16   1.0880e-15
Nuclear Repulsion Energy is 817.165 eV.
Electron Energy is -2005.88 eV.
The molecule in file ../input/CO2.txt has energy -1188.710724 eV.

Beginning Steepest Descent with Backtracking (Armijo condition) to optimize location.
Step = 0; E = -1188.710724; F_norm = 8.865969293
Step = 1; E = -1188.727206; F_norm = 8.85097017
Step = 2; E = -1188.74366; F_norm = 8.835997327
Step = 3; E = -1188.760085; F_norm = 8.821050715
Step = 4; E = -1188.776482; F_norm = 8.806130285
Step = 5; E = -1188.792851; F_norm = 8.791235989
Step = 6; E = -1188.809191; F_norm = 8.776367777
Step = 7; E = -1188.825502; F_norm = 8.7615256
Step = 8; E = -1188.841786; F_norm = 8.746709411
Step = 9; E = -1188.858041; F_norm = 8.73191916
Step = 10; E = -1188.874269; F_norm = 8.717154799
Step = 11; E = -1188.890468; F_norm = 8.70241628
Step = 12; E = -1188.906639; F_norm = 8.687703555
Step = 13; E = -1188.922782; F_norm = 8.673016575
Step = 14; E = -1188.938898; F_norm = 8.658355292
Step = 15; E = -1188.954985; F_norm = 8.643719659
Step = 16; E = -1188.971045; F_norm = 8.629109628
Step = 17; E = -1188.987076; F_norm = 8.614525151
Step = 18; E = -1189.00308; F_norm = 8.59996618
Step = 19; E = -1189.019057; F_norm = 8.585432668
Step = 20; E = -1189.035006; F_norm = 8.570924567
Step = 21; E = -1189.050927; F_norm = 8.556441831
Step = 22; E = -1189.06682; F_norm = 8.541984411
Step = 23; E = -1189.082687; F_norm = 8.527552262
Step = 24; E = -1189.098525; F_norm = 8.513145335
Step = 25; E = -1189.114337; F_norm = 8.498763584
Step = 26; E = -1189.130121; F_norm = 8.484406962
Step = 27; E = -1189.145878; F_norm = 8.470075422
Step = 28; E = -1189.161607; F_norm = 8.455768918
Step = 29; E = -1189.17731; F_norm = 8.441487403
Step = 30; E = -1189.192985; F_norm = 8.42723083
Step = 31; E = -1189.208633; F_norm = 8.412999154
Step = 32; E = -1189.224255; F_norm = 8.398792328
Step = 33; E = -1189.239849; F_norm = 8.384610306
Step = 34; E = -1189.255416; F_norm = 8.370453041
Step = 35; E = -1189.270956; F_norm = 8.356320489
Step = 36; E = -1189.28647; F_norm = 8.342212602
Step = 37; E = -1189.301957; F_norm = 8.328129336
Step = 38; E = -1189.317417; F_norm = 8.314070644
Step = 39; E = -1189.33285; F_norm = 8.300036481
Step = 40; E = -1189.348257; F_norm = 8.286026801
Step = 41; E = -1189.363637; F_norm = 8.272041559
Step = 42; E = -1189.378991; F_norm = 8.258080711
Step = 43; E = -1189.394318; F_norm = 8.244144209
Step = 44; E = -1189.409619; F_norm = 8.23023201
Step = 45; E = -1189.424893; F_norm = 8.216344068
Step = 46; E = -1189.440141; F_norm = 8.202480339
Step = 47; E = -1189.455363; F_norm = 8.188640777
Step = 48; E = -1189.470558; F_norm = 8.174825338
Step = 49; E = -1189.485728; F_norm = 8.161033977
Step = 50; E = -1189.500871; F_norm = 8.14726665
Step = 51; E = -1189.515988; F_norm = 8.133523311
Step = 52; E = -1189.531079; F_norm = 8.119803918
Step = 53; E = -1189.546143; F_norm = 8.106108424
Step = 54; E = -1189.561182; F_norm = 8.092436787
Step = 55; E = -1189.576195; F_norm = 8.078788962
Step = 56; E = -1189.591183; F_norm = 8.065164905
Step = 57; E = -1189.606144; F_norm = 8.051564572
Step = 58; E = -1189.621079; F_norm = 8.037987919
Step = 59; E = -1189.635989; F_norm = 8.024434903
Step = 60; E = -1189.650873; F_norm = 8.010905479
Step = 61; E = -1189.665732; F_norm = 7.997399605
Step = 62; E = -1189.680565; F_norm = 7.983917236
Step = 63; E = -1189.695372; F_norm = 7.97045833
Step = 64; E = -1189.710154; F_norm = 7.957022843
Step = 65; E = -1189.724911; F_norm = 7.943610732
Step = 66; E = -1189.739642; F_norm = 7.930221953
Step = 67; E = -1189.754347; F_norm = 7.916856464
Step = 68; E = -1189.769028; F_norm = 7.903514221
Step = 69; E = -1189.783683; F_norm = 7.890195183
Step = 70; E = -1189.798312; F_norm = 7.876899305
Step = 71; E = -1189.812917; F_norm = 7.863626545
Step = 72; E = -1189.827497; F_norm = 7.850376862
Step = 73; E = -1189.842051; F_norm = 7.837150211
Step = 74; E = -1189.856581; F_norm = 7.823946551
Step = 75; E = -1189.871085; F_norm = 7.81076584
Step = 76; E = -1189.885564; F_norm = 7.797608035
Step = 77; E = -1189.900019; F_norm = 7.784473093
Step = 78; E = -1189.914449; F_norm = 7.771360974
Step = 79; E = -1189.928854; F_norm = 7.758271634
Step = 80; E = -1189.943234; F_norm = 7.745205032
Step = 81; E = -1189.957589; F_norm = 7.732161126
Step = 82; E = -1189.97192; F_norm = 7.719139875
Step = 83; E = -1189.986226; F_norm = 7.706141236
Step = 84; E = -1190.000508; F_norm = 7.693165168
Step = 85; E = -1190.014765; F_norm = 7.68021163
Step = 86; E = -1190.028997; F_norm = 7.66728058
Step = 87; E = -1190.043205; F_norm = 7.654371977
Step = 88; E = -1190.057389; F_norm = 7.641485779
Step = 89; E = -1190.071548; F_norm = 7.628621945
Step = 90; E = -1190.085683; F_norm = 7.615780436
Step = 91; E = -1190.099793; F_norm = 7.602961208
Step = 92; E = -1190.11388; F_norm = 7.590164222
Step = 93; E = -1190.127942; F_norm = 7.577389436
Step = 94; E = -1190.14198; F_norm = 7.56463681
Step = 95; E = -1190.155994; F_norm = 7.551906303
Step = 96; E = -1190.169984; F_norm = 7.539197875
Step = 97; E = -1190.183949; F_norm = 7.526511485
Step = 98; E = -1190.197891; F_norm = 7.513847093
Step = 99; E = -1190.211809; F_norm = 7.501204658
Step = 100; E = -1190.225703; F_norm = 7.48858414
Step = 101; E = -1190.239573; F_norm = 7.475985499
Step = 102; E = -1190.25342; F_norm = 7.463408694
Step = 103; E = -1190.267242; F_norm = 7.450853687
Step = 104; E = -1190.281041; F_norm = 7.438320436
Step = 105; E = -1190.294816; F_norm = 7.425808902
Step = 106; E = -1190.308568; F_norm = 7.413319045
Step = 107; E = -1190.322296; F_norm = 7.400850826
Step = 108; E = -1190.336; F_norm = 7.388404205
Step = 109; E = -1190.349681; F_norm = 7.375979142
Step = 110; E = -1190.363339; F_norm = 7.363575598
Step = 111; E = -1190.376973; F_norm = 7.351193534
Step = 112; E = -1190.390583; F_norm = 7.33883291
Step = 113; E = -1190.404171; F_norm = 7.326493687
Step = 114; E = -1190.417735; F_norm = 7.314175826
Step = 115; E = -1190.431276; F_norm = 7.301879287
Step = 116; E = -1190.444793; F_norm = 7.289604033
Step = 117; E = -1190.458287; F_norm = 7.277350023
Step = 118; E = -1190.471759; F_norm = 7.265117219
Step = 119; E = -1190.485207; F_norm = 7.252905583
Step = 120; E = -1190.498632; F_norm = 7.240715076
Step = 121; E = -1190.512034; F_norm = 7.228545659
Step = 122; E = -1190.525413; F_norm = 7.216397293
Step = 123; E = -1190.538769; F_norm = 7.20426994
Step = 124; E = -1190.552103; F_norm = 7.192163563
Step = 125; E = -1190.565413; F_norm = 7.180078121
Step = 126; E = -1190.578701; F_norm = 7.168013579
Step = 127; E = -1190.591966; F_norm = 7.155969896
Step = 128; E = -1190.605208; F_norm = 7.143947035
Step = 129; E = -1190.618428; F_norm = 7.131944959
Step = 130; E = -1190.631625; F_norm = 7.119963629
Step = 131; E = -1190.644799; F_norm = 7.108003007
Step = 132; E = -1190.657951; F_norm = 7.096063056
Step = 133; E = -1190.67108; F_norm = 7.084143738
Step = 134; E = -1190.684187; F_norm = 7.072245015
Step = 135; E = -1190.697271; F_norm = 7.06036685
Step = 136; E = -1190.710333; F_norm = 7.048509206
Step = 137; E = -1190.723373; F_norm = 7.036672045
Step = 138; E = -1190.73639; F_norm = 7.024855329
Step = 139; E = -1190.749385; F_norm = 7.013059022
Step = 140; E = -1190.762358; F_norm = 7.001283087
Step = 141; E = -1190.775308; F_norm = 6.989527485
Step = 142; E = -1190.788237; F_norm = 6.977792181
Step = 143; E = -1190.801143; F_norm = 6.966077138
Step = 144; E = -1190.814027; F_norm = 6.954382318
Step = 145; E = -1190.826889; F_norm = 6.942707684
