Overlap Grad Matrix:
        0        0        0        0   0.2663  -0.1825   0.0784        0        0        0        0   0.0298  -0.1112  -0.2130        0        0        0        0   0.0782  -0.1822  -0.0536        0        0        0        0  -0.1822  -0.0536   0.0782  -0.2663  -0.0298  -0.0782   0.1822        0  -0.1313  -0.0550   0.1825   0.1112   0.1822   0.0536   0.1313        0   0.0763  -0.0784   0.2130   0.0536  -0.0782   0.0550  -0.0763        0
        0        0        0        0   0.0784   0.2663  -0.1825        0        0        0        0   0.0782  -0.1822  -0.0536        0        0        0        0  -0.2130   0.0298  -0.1112        0        0        0        0  -0.0536   0.0782  -0.1822  -0.0784  -0.0782   0.2130   0.0536        0   0.0550  -0.0763  -0.2663   0.1822  -0.0298  -0.0782  -0.0550        0  -0.1313   0.1825   0.0536   0.1112   0.1822   0.0763   0.1313        0
        0        0        0        0  -0.1825   0.0784   0.2663        0        0        0        0  -0.1822  -0.0536   0.0782        0        0        0        0  -0.0536   0.0782  -0.1822        0        0        0        0  -0.1112  -0.2130   0.0298   0.1825   0.1822   0.0536   0.1112        0   0.0763   0.1313  -0.0784   0.0536  -0.0782   0.2130  -0.0763        0   0.0550  -0.2663  -0.0782   0.1822  -0.0298  -0.1313  -0.0550        0
Gamma Grad Matrix:
        0   3.6640  -2.5111   1.0782  -3.6640        0  -2.0797  -0.8709   2.5111   2.0797        0   1.2088  -1.0782   0.8709  -1.2088        0
        0   1.0782   3.6640  -2.5111  -1.0782        0   0.8709  -1.2088  -3.6640  -0.8709        0  -2.0797   2.5111   1.2088   2.0797        0
        0  -2.5111   1.0782   3.6640   2.5111        0   1.2088   2.0797  -1.0782  -1.2088        0   0.8709  -3.6640  -2.0797  -0.8709        0
Nuclear Repulsion Grad Matrix (V):
   18.7038  -33.9170   24.6187   -9.4055
   18.7038   -9.4055  -33.9170   24.6187
   18.7038   24.6187   -9.4055  -33.9170
Electron Grad Matrix:
  -16.7780   31.4769  -23.2564    8.5576
  -16.7780    8.5576   31.4769  -23.2564
  -16.7780  -23.2564    8.5576   31.4769
Total Grad Matrix:
   1.9258  -2.4402   1.3622  -0.8479
   1.9258  -0.8479  -2.4402   1.3622
   1.9258   1.3622  -0.8479  -2.4402
Nuclear Repulsion Energy is 242.684 eV.
Electron Energy is -621.51 eV.
The molecule in file ../input/NH3.txt has energy -378.8262975 eV.

Beginning Steepest Descent with Backtracking (Armijo condition) to optimize location.
Step = 0; E = -378.8262975; F_norm = 12.0969932
Step = 1; E = -378.8311063; F_norm = 12.09288472
Step = 2; E = -378.835913; F_norm = 12.08878062
Step = 3; E = -378.8407176; F_norm = 12.0846809
Step = 4; E = -378.84552; F_norm = 12.08058557
Step = 5; E = -378.8503204; F_norm = 12.07649462
Step = 6; E = -378.8551187; F_norm = 12.07240806
Step = 7; E = -378.8599149; F_norm = 12.06832588
Step = 8; E = -378.8647091; F_norm = 12.06424809
Step = 9; E = -378.8695011; F_norm = 12.06017468
Step = 10; E = -378.874291; F_norm = 12.05610565
Step = 11; E = -378.8790789; F_norm = 12.05204101
Step = 12; E = -378.8838646; F_norm = 12.04798075
Step = 13; E = -378.8886483; F_norm = 12.04392488
Step = 14; E = -378.8934299; F_norm = 12.0398734
Step = 15; E = -378.8982094; F_norm = 12.0358263
Step = 16; E = -378.9029869; F_norm = 12.03178359
Step = 17; E = -378.9077622; F_norm = 12.02774526
Step = 18; E = -378.9125355; F_norm = 12.02371132
Step = 19; E = -378.9173067; F_norm = 12.01968177
Step = 20; E = -378.9220759; F_norm = 12.0156566
Step = 21; E = -378.9268429; F_norm = 12.01163582
Step = 22; E = -378.9316079; F_norm = 12.00761943
Step = 23; E = -378.9363709; F_norm = 12.00360742
Step = 24; E = -378.9411317; F_norm = 11.99959981
Step = 25; E = -378.9458905; F_norm = 11.99559658
Step = 26; E = -378.9506473; F_norm = 11.99159774
Step = 27; E = -378.955402; F_norm = 11.98760329
Step = 28; E = -378.9601546; F_norm = 11.98361323
Step = 29; E = -378.9649052; F_norm = 11.97962755
Step = 30; E = -378.9696537; F_norm = 11.97564627
Step = 31; E = -378.9744001; F_norm = 11.97166938
Step = 32; E = -378.9791446; F_norm = 11.96769687
Step = 33; E = -378.9838869; F_norm = 11.96372876
Step = 34; E = -378.9886272; F_norm = 11.95976504
Step = 35; E = -378.9933655; F_norm = 11.95580571
Step = 36; E = -378.9981017; F_norm = 11.95185077
Step = 37; E = -379.0028359; F_norm = 11.94790023
Step = 38; E = -379.007568; F_norm = 11.94395407
Step = 39; E = -379.0122981; F_norm = 11.94001231
Step = 40; E = -379.0170261; F_norm = 11.93607494
Step = 41; E = -379.0217522; F_norm = 11.93214196
Step = 42; E = -379.0264761; F_norm = 11.92821338
Step = 43; E = -379.0311981; F_norm = 11.92428919
Step = 44; E = -379.035918; F_norm = 11.9203694
Step = 45; E = -379.0406359; F_norm = 11.916454
Step = 46; E = -379.0453517; F_norm = 11.91254299
Step = 47; E = -379.0500655; F_norm = 11.90863638
Step = 48; E = -379.0547773; F_norm = 11.90473417
Step = 49; E = -379.0594871; F_norm = 11.90083635
Step = 50; E = -379.0641949; F_norm = 11.89694293
Step = 51; E = -379.0689006; F_norm = 11.89305391
Step = 52; E = -379.0736043; F_norm = 11.88916928
Step = 53; E = -379.078306; F_norm = 11.88528905
Step = 54; E = -379.0830057; F_norm = 11.88141322
Step = 55; E = -379.0877034; F_norm = 11.87754179
Step = 56; E = -379.092399; F_norm = 11.87367476
Step = 57; E = -379.0970926; F_norm = 11.86981213
Step = 58; E = -379.1017843; F_norm = 11.8659539
Step = 59; E = -379.1064739; F_norm = 11.86210006
Step = 60; E = -379.1111615; F_norm = 11.85825063
Step = 61; E = -379.1158471; F_norm = 11.8544056
Step = 62; E = -379.1205307; F_norm = 11.85056497
Step = 63; E = -379.1252124; F_norm = 11.84672875
Step = 64; E = -379.129892; F_norm = 11.84289692
Step = 65; E = -379.1345696; F_norm = 11.8390695
Step = 66; E = -379.1392452; F_norm = 11.83524649
Step = 67; E = -379.1439188; F_norm = 11.83142787
Step = 68; E = -379.1485904; F_norm = 11.82761367
Step = 69; E = -379.1532601; F_norm = 11.82380386
Step = 70; E = -379.1579277; F_norm = 11.81999847
Step = 71; E = -379.1625934; F_norm = 11.81619748
Step = 72; E = -379.167257; F_norm = 11.81240089
Step = 73; E = -379.1719187; F_norm = 11.80860872
Step = 74; E = -379.1765784; F_norm = 11.80482095
Step = 75; E = -379.1812361; F_norm = 11.80103759
Step = 76; E = -379.1858919; F_norm = 11.79725863
Step = 77; E = -379.1905456; F_norm = 11.79348409
Step = 78; E = -379.1951974; F_norm = 11.78971396
Step = 79; E = -379.1998472; F_norm = 11.78594823
Step = 80; E = -379.2044951; F_norm = 11.78218692
Step = 81; E = -379.2091409; F_norm = 11.77843002
Step = 82; E = -379.2137848; F_norm = 11.77467754
Step = 83; E = -379.2184267; F_norm = 11.77092946
Step = 84; E = -379.2230667; F_norm = 11.7671858
Step = 85; E = -379.2277047; F_norm = 11.76344655
Step = 86; E = -379.2323407; F_norm = 11.75971172
Step = 87; E = -379.2369748; F_norm = 11.7559813
Step = 88; E = -379.2416069; F_norm = 11.75225529
Step = 89; E = -379.246237; F_norm = 11.74853371
Step = 90; E = -379.2508652; F_norm = 11.74481654
Step = 91; E = -379.2554914; F_norm = 11.74110379
Step = 92; E = -379.2601157; F_norm = 11.73739545
Step = 93; E = -379.264738; F_norm = 11.73369153
Step = 94; E = -379.2693584; F_norm = 11.72999204
Step = 95; E = -379.2739768; F_norm = 11.72629696
Step = 96; E = -379.2785933; F_norm = 11.72260631
Step = 97; E = -379.2832078; F_norm = 11.71892007
Step = 98; E = -379.2878204; F_norm = 11.71523826
Step = 99; E = -379.292431; F_norm = 11.71156087
Step = 100; E = -379.2970397; F_norm = 11.7078879
Step = 101; E = -379.3016465; F_norm = 11.70421936
Step = 102; E = -379.3062513; F_norm = 11.70055524
Step = 103; E = -379.3108541; F_norm = 11.69689555
Step = 104; E = -379.3154551; F_norm = 11.69324028
Step = 105; E = -379.3200541; F_norm = 11.68958944
Step = 106; E = -379.3246512; F_norm = 11.68594302
Step = 107; E = -379.3292463; F_norm = 11.68230104
Step = 108; E = -379.3338395; F_norm = 11.67866348
Step = 109; E = -379.3384308; F_norm = 11.67503035
Step = 110; E = -379.3430202; F_norm = 11.67140166
Step = 111; E = -379.3476076; F_norm = 11.66777739
Step = 112; E = -379.3521931; F_norm = 11.66415756
Step = 113; E = -379.3567767; F_norm = 11.66054215
Step = 114; E = -379.3613584; F_norm = 11.65693119
Step = 115; E = -379.3659381; F_norm = 11.65332465
Step = 116; E = -379.370516; F_norm = 11.64972255
Step = 117; E = -379.3750919; F_norm = 11.64612488
Step = 118; E = -379.3796659; F_norm = 11.64253165
Step = 119; E = -379.384238; F_norm = 11.63894286
Step = 120; E = -379.3888082; F_norm = 11.63535851
Step = 121; E = -379.3933765; F_norm = 11.63177859
Step = 122; E = -379.3979429; F_norm = 11.62820311
Step = 123; E = -379.4025073; F_norm = 11.62463208
Step = 124; E = -379.4070699; F_norm = 11.62106548
Step = 125; E = -379.4116305; F_norm = 11.61750332
Step = 126; E = -379.4161893; F_norm = 11.61394561
Step = 127; E = -379.4207462; F_norm = 11.61039234
Step = 128; E = -379.4253011; F_norm = 11.60684352
Step = 129; E = -379.4298542; F_norm = 11.60329914
Step = 130; E = -379.4344054; F_norm = 11.5997592
Step = 131; E = -379.4389546; F_norm = 11.59622371
Step = 132; E = -379.443502; F_norm = 11.59269267
Step = 133; E = -379.4480475; F_norm = 11.58916608
Step = 134; E = -379.4525911; F_norm = 11.58564394
Step = 135; E = -379.4571328; F_norm = 11.58212624
Step = 136; E = -379.4616727; F_norm = 11.578613
Step = 137; E = -379.4662106; F_norm = 11.57510421
